,labels,responses
79,SARCASM,delayed as in the had to use  to get to the station to drive a  train ? #southernfail
80,SARCASM,"Awesome customer services , told i would have a response in 72 hours and when that didn't happen was asked to provide info and over 24 hours after that still have 0 acknowledgment ."
81,SARCASM,"Yeah , that doesn't fit their hate driven narrative and  so busy provoking . The inclusive , loving , non bigoted libs . are such little busy bodies of contradiction . Preaching acceptance but only of those who think , believe and behave as them . #Narcissists"
82,SARCASM,"We are constantly monitoring customer feedback and are look forward to bringing HomeKit to the market . Instead of working on this , we are researching new products we think our customers may want . Thank you for your suggestion ."
83,SARCASM,"pti and IK are just contesting their case in which they accused PM without any proof ,"
84,SARCASM,"#OROP All political party sail in same boat , Armymen sat at Jantarmantar so it happnd this time ."
85,SARCASM,"Sounds like a nicely "" Proven technology for bot detection """
86,SARCASM,you should show them the spoof judges one from today ! That'll make them laugh and would be a great additional discussion .
87,SARCASM,"This is a very well thought out , articulate , and intelligent take ."
88,SARCASM,yet the left keeps reminding Americans how fat everyone is
89,SARCASM,No IQ concerns either if you don't know what they are you're either naive or dirty
90,SARCASM,you're a high school drop out on welfare . You're not qualified impugn anyone's intelligence .
91,SARCASM,"Always love it when someone who can't spell "" there "" comments about ignorance ."
92,SARCASM,So we trust the mafia . History has proven that to be true . No different for the tech mafia . The honest mafia don makes for a heroic protagonist but never the winner in any mafia war or movie .
93,SARCASM,"Yeah ! Let's sacrifice a boy's future to make an example ! Seriously , a bit of empathy is no harm ."
94,SARCASM,Ask Trump how great a guy Trump is . 
95,SARCASM,r these the same pollsters that told us DT wouldn't win & Hillary will win #WI #MI ?
96,SARCASM,"wow "" The atmosphere means nothing to us , there's no response & doesn't effect how we play "" - Quote : No player ever ."
97,SARCASM,My wife just posted a Facebook text asking if he dropped off the wagon again Hah !
98,SARCASM,.   people disagreeing with this are very hateful and aggressive in the language they use in the comments
99,SARCASM,"that is what comedy is for . Before that video , I heard nothing . MSM omission is also deception"
100,SARCASM,"You do realize you have a profile pic of a man that kisses other men on the lips , right ?"
101,SARCASM,You're a Bay Area sports fan who wants #calexit bc you hate CA ? #finebyme
102,SARCASM,"since the internet ... socializing ourselves to be anti-social , through social media ..."
103,SARCASM,"Right , because most people take their kids with them to commit burglary . So what if she's never seen him ? If there's ten people living there , they have a hundred + relations she's never seen before . Plus friends . Nobody owes her an explanation ."
104,SARCASM,"song tunes incl . "" I love China "" vs . people chanting anti-establishment slogans"
105,SARCASM,say ppl who voted in a megalomaniacal reality tv star as #lohansux
106,SARCASM,a black man saying he wishs for black genocide for Christmas ... sounds like a Richard Pryor joke .  .
107,SARCASM,Hilarious to see #journalism org decrying fake news stories .
108,SARCASM,Oh no . I just told clients there's a good chance of 90 % returns in stocks over th next year ! #noguarantees
109,SARCASM,"Yeah , blocking out everyone who disagree's with you , that's the pinacle of emotional maturity !"
110,SARCASM,"High quality materials don't allow us to price it lower & Of course it's not by Corning , we just like to use names of our strategic partners randomly "
111,SARCASM,"The here is so pervasive , I almost liked it . Wanting to supplant 1 asserted bias with a different 1 of your own choosing — that's hilarious . But , failing to acknowledge that the bias of your choosing already exists ... Well — That's the * * IRONY * *"
112,SARCASM,true & our policy makers never learn from past experiences
113,SARCASM,Nothing says nothing better than denise ! Can't even decide what she supports politically ? LOL SMH #Projection
114,SARCASM,"All those black people being shot , because they're poor . Who would have thought ."
115,SARCASM,"They have ZERO say , they can slow it down but not stop ANY because THEY changed the rules in 2014 ."
116,SARCASM,"The irony in this tweet , lost on every trump supporter , including the writer , is priceless ."
117,SARCASM,"Democrats demand we judge each immigrant on their character , yet u judge all republicans as evil ."
118,SARCASM,But in my case the device failed to resist water when it was taken in pool for the first time .
119,SARCASM,OHHHH NOOOO ! ! ! We can't make Billionaires pay their fair share . We have to keep subsidizing them ! ! !
120,SARCASM,Take your hands off the wheel next time you're driving your car down the interstate  and see how good of a pilot God is . Good Luck !
121,SARCASM,__ ' you've won it all by bloody cheating ' comes to mind
122,SARCASM,thats exactly what I think too - esp this 1 person who is known for being a big trend-hopper
123,SARCASM," & these crooks campaigned on Trudeau's media manufactured "" scandals "" . Rich . #Karma"
124,SARCASM,Imagine a trump sycophant talking about fidelity to anyone .
125,SARCASM,LOL you call yourself Freedom Zone and you takl about getting rid of public media .
126,SARCASM,thinking the same thing ! Couldn't read about putting phone down without my phone ! ___
127,SARCASM,This is what I say about Donald Trump everyday . #mindblown #oops
128,SARCASM,"I would like to give you the benefit of the doubt , but I don't set the rules . As the Boomtown Rats sang , You're guilty , ' til proven guilty Isn't that the law ? Guilty , ' til proven guilty That's what we all saw"
129,SARCASM,It's actually a think piece about racial identity and how you have to look deeper .
130,SARCASM,He also cried during GamerGate that games media had ingroups and special access that tainted their journalism . #lol 
131,SARCASM,"Son , it's a swear word that adults use to emphasize a point . Anyway , you're 10 yrs old , wtf you doing on Twitter anyway ? I'm deleting your account . Now put the GD phone down and get outside and play ..."
132,SARCASM,": ( 1 ) I'm not a white man , I'm Native America ( Paiute ) , and ( 2 ) those guys dressed up as Natives ."
133,SARCASM,She did win the popular vote did she not ? And Trump won the electorate vote . Lol
134,SARCASM,"didnt see that but read he was bummed ab punch b / c he should be "" safe "" at inaug"
135,SARCASM,"He managed to keep prayers out of schools , along with the please of allegiance ."
136,SARCASM,Isn't it a shame that Hindu fanatics are spreading terror in Iraq and Syria . Just last week a certain Hindu tried to kill few people on the London bridge ! Jamal Khasoggi was murdered by a certain RSS worker . Osama bin Laden was a member of the BJP . #islamicfanatic
137,SARCASM,"it's interesting that the same white voters in Florida , Ohio , and Pennsylvania that voted for Obama , also voted for Trump ."
138,SARCASM,"insults city because they don't have a power saw , then calls city classless ."
139,SARCASM,You're right ! A black president in the US is a preposterous idea .
140,SARCASM,the crazies follow and even threaten people in writing ... amazing ! #surrondedbycrazies
141,SARCASM,"Spanish Fort , AL . Even the few Baggers that where working where aggravated with Grocery Manager Bawaneh . I throughly enjoyed helping bag my groceries and placing the groceries in the cart ."
142,SARCASM,Screw history ! Who cares if we make the same mistakes as we did in the past .
143,SARCASM,many of these same folks are bullying third party candidates and their supporters right now .
144,SARCASM,"Yes . Under measures introduced by , um , Amber Rudd ."
145,SARCASM,The very people who could do with a good education .
146,SARCASM,I was gonna ask the same thing by with an
147,SARCASM,Part of the reason for that is that being a Domme is legal whereas being a prostitute is not . Most Dommes don't want to mix the two for legal reasons which is cool but they don't get that those strap on sessions count as prostitution so they are legally hookers too .
148,SARCASM,wait there's an election what election ? haven't heard anything about an election ... lemme  that .
149,SARCASM,"I guess that's what they proudly call , fighting like a girl ."
150,SARCASM,I find it hilarious that you're #boycotting something you were never going to watch . ___
151,SARCASM,If you read the story - it came from #Ricketts if you phone the right people - you get the answer you'll be given in the New year ... #Ohdearindeed #notfakenews
152,SARCASM,Such shame that ppl like  stand for pakistani actors but dont hv spine to stand for thr Own . #Hippocrates #ZairaWasim
153,SARCASM,It was just a bit of based on today's news regarding RKG funding . IMHO we should have greater aspirations .
154,SARCASM,"boy , oh boy .. y'all are acting like SJW's while accusing Ben of acting like an SJW ."
155,SARCASM,I'd pass it on to my source at Greggs but she'd only have it taken off her again by UC
156,SARCASM,I'll be one of those people trying to get the closest parking spot to the entrance because I don't want to walk too far .
157,SARCASM,"Yeah , good luck with that . Being constructive is all i advocate . Not smashing your face against a brick wall ."
158,SARCASM,I find it comical that Clemson is in the title game tonight and the only thing on your mind is me : living rent free in your head !
159,SARCASM,you're going to insult someone's cleverness with that sentence structure .. ?
160,SARCASM,you seriously believe that thousands of ppl are concerned about this because of low IQ ? Consider your own
161,SARCASM,"Oh yes ULIP ! ! or even better "" Term with return of premium """
162,SARCASM,wants it so bad . He also believes Freddie should be traded and the rest of the team should be shot
163,SARCASM,Ive been following him religiously ... but given his predilection to chop and change his political opinions its hard to tell without attached .
164,SARCASM,Too bad you are probably 1 out of a 100 people who have actually given a small dollar donation to her campaign ! Maybe that will drop her average down from $ 2000 to $ 1990 per donor ! What grassroots progress !
165,SARCASM,The problem with this badge is that the phrase ‘ Independence Day'refers to a US holiday where they gained independence from the British and their armies . Now we're coining the phrase to segregate ourselves from the EU bloc where we have access to great economic benefits .
166,SARCASM,"Climate change , sea level rise , all the swamps will flood"
167,SARCASM,"Words have meaning , it's how we communicate , for millions of people , for millennia , on this planet the word "" woman "" in all its linguistic variations has / continues to mean biological female . BTW abusing people with opposing views to you is the actual definition of bigotry"
168,SARCASM,"Sigh Meghan has to go  Helping those impacted by the Grenfell fires in a way that empowers them . Developing a clothing line to help those indeed of business attire 4 interviews . Bringing attention to UK charities , 3 successful tours representing the UK . It's all too much"
169,SARCASM,says the guy who praised the Original tweet .
170,SARCASM,Wow so glad Twitter never notified me you replied . yeah it's actually that blurry and I doubt anything can be done now because it's been a whole year . 
171,SARCASM,always nice to get a complement from an islamaphobe .
172,SARCASM,"Hey #SnowFlakes , Shall we discuss when  changed rules & used the "" nuclear "" option in 2013 ?"
173,SARCASM,"So I'm going to reply to her about the "" Government does not Rescue thing "" - Cannot believe that the Uber / Lyft thing has now spread like that ..."
174,SARCASM,I can see  is a clear & present danger .
175,SARCASM,Wow ... she REALLY does just repeat what others tell her . #iknowshesjoking #soami
176,SARCASM,What utter drivel ... Sturgeon has the nerve to use the word democracy ! !  oh the
177,SARCASM,Sorry thought you Catholics had a sense of humor ...
178,SARCASM,Its indian cricket council if I am not wrong
179,SARCASM,"#Bravo grofers for an amazing customer service . I tried talking to them second time as I thought may be it's my money only I need to bother . Grofers is giving just free of cost products which is my need , so I need to listen . I m getting money to buy products . #grofers"
180,SARCASM,"Wait . Your logical , normal explanation doesn't fit this line of subtle attack by an impartial journalist on a candidate that has a boring record , but is appealing to a lot of voters . Oh that's right , he's gay and white ."
181,SARCASM,"sounds exactly like the way Trump deals with reporters , doesn't it ?"
182,SARCASM,This was $ 31 only 4 months ago . Today $ 125 . And NOW people are interested in buying this ? After a 300 % return in 4 months ? Gotta love the enthusiasm out there ...
183,SARCASM,I'm using the last NYT I will ever buy as crap liner in parrot cage . The
184,SARCASM,"We don't spare kids of religion , caste , violence , bollywood , sex , etc . Why spare them politics ? Let's go all the way . ( because most people don't get it )"
185,SARCASM,I think you just got a RT from Respect
186,SARCASM,I do so hope thats meant to be sarcastic you crazy apocalyptic musician .
187,SARCASM,he did not support #gay marriage in the 2008 campaign ( nor did #Clinton ) if u remember #hypocritical
188,SARCASM,you mean just like  is sucking up to
189,SARCASM,"What irks me , the fact that he didn't sound intelligent--in front of the intelligence community ."
190,SARCASM,"They are oblivious , they couldn't possibly have stoked these flames ."
191,SARCASM,"isn't Muhammed considered the "" great deceiver ? "" = to Satan in Christian Bible I don't trust them ."
192,SARCASM,as we all know liberals and democrats are time traveling warlocks that feast on babies for their power so it makes sense that we wouldn't be able to see them on the video . Yep .
193,SARCASM,Comments like this show lack of functioning brain cells .
194,SARCASM,Try next time . Hard to tell these days .
195,SARCASM,"So , I cannot #access a video about voting barriers because of lack of #captions ..."
196,SARCASM,Exactly ! Cubans are being targeted while Islamists are building mosques unlimited under Obama .
197,SARCASM,.     loads of #passion but still need three alarm cloc
198,SARCASM,thinking the whole time McConnell is the one keeping Obamacare alive .
199,SARCASM,of course if suggestion was ironic I will only follow ironically
200,SARCASM,Cant agree mor Rohingya menace in Jmu is sabotage 2 d ppl f Jmu . #He is d mastermind f DEMOGRAPHIC Invasion f Jmu & V d NATIONALIST bt INNOCENT ppl f Jmu wr made 2 believe & rejoice tht hez Ist Jmu CM . he damaged Jmu cause mor than any 1 else .
201,SARCASM,Give him a break ! He suffered a heart attack !
202,SARCASM,The good news he won't complain about how sore he is all week after putting this up
203,SARCASM,.  Their language defines their narrative . Acc to them #Aleppo has ' fallen ' while #Palmyra is ' retaken ' . #Syria
204,SARCASM,"Bush was Cheney ' s puppet , #CrookedDonald will b Putin's .. Who'd known we'd call Cheney one of the good guys ?"
205,SARCASM,Richard Spencer was talking about the lying media distorting reality with headlines like this .
206,SARCASM,surprising we can't find a middle ground with miles and miles of space in the middle you'd think it be easy to find .
207,SARCASM,Yes it is . Stop doing exactly what you are demanding the Senator stop doing .
208,SARCASM,"of course they don't . They collected $ 1G a seat from their "" DIVERSE VIEWERS "" ( the elite ... )"
209,SARCASM,... especially with all the focus the media put on the victims ... instead of emails . 
210,SARCASM,"You don't think a "" Peru bank "" is going to do the trick ? ! "
211,SARCASM,"May 13 , 2010 was a very sad day for mothership fans . Guess a good day for #SVU cast / crew though !"
212,SARCASM,that sounded a bit creepy . Now I'm panicking you think I might be a stalker . #mentalhealth
213,SARCASM,Surely Cameron gets suspended too ... I mean ... he orchestrated every thing ... right ?
214,SARCASM,I was set to fly to playa Del Carmen dec 1996 from my new city . We sat on the snowy tarmac for hours then were told to go home and come back the next day . Eventually made it to Playa but the wasn't lost on me ! #Snowpocalypse2020
215,SARCASM,If you'd taken out all the trees instead of hugging them then there'd be no fires ! #staysafe #cometogether #fuckmurdoch
216,SARCASM,And Yet You're the One Who Refuses to Acknowledge the Results of Our Election ( s )    #LackOfSelfAwareness
217,SARCASM,Sad you had to add Can we get off this ride yet ?
218,SARCASM,"You won't defend your cause , but you will criticize other women who are brave enough to stand for what they believe ?"
219,SARCASM,"like I don't like using people's appearance to insult , it's petty & distracts from the real evil they've done . But"
220,SARCASM,can't wait until they have to petition the European court of justice
221,SARCASM,I tried to submit for a refund while on the flight but the wifi wasn't good enough to let me
222,SARCASM,Paciorrety has to hone his defensive play before getting promoted .
223,SARCASM,This is one of those tweets that didn't come across as intended isn't it ? Where you needed the ... ;)
224,SARCASM,"I'm 49 and I've just asked working class people do they know PoshPainter , they said only via Owen Jones"
225,SARCASM,Perhaps I should have added . I really didn't think it was necessary .
226,SARCASM,"should be : I guess that it is you WHO not that , ..."
227,SARCASM,"On the other hand , Bloomberg obviously is concerned ... Michael Bloomberg owns 3 planes , 2 helicopters , 6 boats , 11 houses , 42 cars .. yet suggests we should all take the bus to help fight climate change . "
228,SARCASM,disgusting .. and ur tweet is actually what scum would write .
229,SARCASM,"It's "" etc . "" , short for "" et cetera "" , meaning "" and the rest "" . Don't worry about Latin anyway , "" legaltips "" . It's a dead language . #DemocratsAreDullWitted"
230,SARCASM,"Saddam was more evil , more powerful and more dangerous . Removing him with any kind of strategy must be beneficial to America and saving American lives"
231,SARCASM,"Saw something like that , finally ; misspelled Du Bois as "" De Bois "" . ( Just after one on signs of bullying . )"
232,SARCASM,I forgot to add in there . That's what I get for typing on my phone .
233,SARCASM,you say he's a simpleton yet your grammar suggests you're a bigger simpleton ? ? #salty
234,SARCASM,The fact that the one person who could have ensured a fair trial with witnesses and evidence is complaining about fairness after he ordered witnesses to not testify .
235,SARCASM,"Uh-oh , was  too "" un-PC "" for you ? Do you need a pro -  safe space to protect your feelings ? _"
236,SARCASM,u idiot ..  doesn't care about Hispanics . He'll call u an anchor baby but by all means support him
237,SARCASM,"Funny you should mention fear , she is known for the poem Our Greatest Fear about acting from power instead of fear ."
238,SARCASM,"If the Crusades were "" so long ago "" than don't bring up Jesus since we're talking shelf life ."
239,SARCASM,note to myself : when trying to be funny add an hashtag
240,SARCASM,You're right . Corruption started in January of 2017 . My bad .
241,SARCASM,Where's the empirical evidence that they did ? ( Even if u produce some there r ppl that will deny it ) #MRobertsisaLoony
242,SARCASM,she forgets how Trumble hung off Packers coat tails ..
243,SARCASM,"thanks sweetie !  I'm from Salem area , you ? You were SO funny , we have similar personalities gotta love it !  "
244,SARCASM,Enjoying the of this #citation : paywall exclusion has always been a major hindrance to tackling climate change denial #agnotology #ClimateEmergency
245,SARCASM,For that you would get serious jail time .
246,SARCASM,Shows how much the poor bloke needed a holiday : he wasn't even thinking straight
247,SARCASM,"You mean like Melania did ? Worked here without the proper visa , then lies about it ."
248,SARCASM,"No more than the words "" crooked "" , "" collaborate "" or #TraitorInChief"
249,SARCASM,I can't believe they traded for that guy ! Gave up way too much .
250,SARCASM,of Mizzou fans worry about KU Football because they have nothing to speak about w / their team
251,SARCASM,"says the guy who declared there's no evidence , then asked to peer review it ."
252,SARCASM,A farewell address and the last scheduled conference are two different things :|
253,SARCASM,Give every child a jar of jelly beans . The ones that horde them to themselves identify as Conservatives and they are NOT to be made fun of OK ! The ones that share with others are Liberals and they are fair game for teasing regardless of age !
254,SARCASM,These women completely lack attractive feminine features . Why do most feminists resemble men ? _
255,SARCASM,It was also checked to eliminate the same synonyms .
256,SARCASM,Nope :( Looks like I deleted Dropbox from my phone due to storage issues
257,SARCASM,.   I like to leave fragments lying about for others to find and identify !
258,SARCASM,so now we just have the biggest elitist of all running the country ...
259,SARCASM,"Dudes dressed to the nine will cry "" gold-digger "" if women pursued / assumed they have big-money ."
260,SARCASM,got a car ? using mobile phone and computer ? then whinging about coal ... your lifestyle is powered by petroleum mate ... yet you don't say no to computers ...
261,SARCASM,there isn't any . He knows that . That was the point . Check out a man's life b4 assuming u know him ffs
262,SARCASM,some #TuamBabies maybe alive yet in its place #PPSellBabyParts instead which #repealthe8th support
263,SARCASM,"Lucky you got that citizenship sorted out , next offense they might throw you out"
264,SARCASM,"It always amuses me greatly how trans want people to accept them for who they are , yet can't even accept themselves for who they are ! #hypocrites #stunningandbrave"
265,SARCASM,But but ... they also Rx Sglt 2i and or Dpp 4i So high carb ok .
266,SARCASM,Fan fact : The station is on the Isle of Dogs . #ironic #alanismorrisettemoment
267,SARCASM,"When the Girls who worship Ravana & propagate anarchy saw Ravana in real life , forgot their revolution for anarchy went to police"
268,SARCASM,"Yup . If that happened in Game 6 , this conversation wouldn't be happening ."
269,SARCASM,I dont know guys . The guy with 2000 atbats hasn't had enough time in the show to reveal his true colors !
270,SARCASM,And coons are brown & black & wear a mask ... You ppl are idiots no able to see the of this
271,SARCASM,Who uses stops ? Well at least no one here on Twitter ... Lol   
272,SARCASM,I liked that he covered his face with a scarf on way out of court _
273,SARCASM,Naive opinion of what the campaign ran . ran on Hope and Change then screwed us
274,SARCASM,women strive 2B treated as equals not just housewives & y'all counter w shopping boycott - dumbasses
275,SARCASM,"Big fan of asset sales management , but you should keep your sporting / political allegiances to yourself ."
276,SARCASM,The She is afraid to go to #Saudi cos she's anti HEJAB And ( a lot ) of #Moslem_woman #afraid to go to the cos of anti HEJAB
277,SARCASM,Hey I really think ( not ) that because season 1 is the best thing ever so that he got something better to do .
278,SARCASM,I forgot the cake and now I'm in the dog house _ _
279,SARCASM,""" are persons with autism even sentient at all "" :("
280,SARCASM,Except he didn't say a death wish did he ?
281,SARCASM,yeah obviously I had to cushion my laudatory Oasis take in not one but two your da jokes
282,SARCASM,when lit all trump products are made there ?
283,SARCASM,"So ... he refers to her as angry , c * nty , and stupid while simultaneously accusing others of being hate-filled ."
284,SARCASM,"Says the "" person "" singlehandedly defending Ben on EVERY tweet ."
285,SARCASM,Remainers were even more clear about what leave meant
286,SARCASM,As a 100 % Brexiteer I've been won over with your eloquent and sophisticated campaign .
287,SARCASM,What a sicko . actually asking for a kiss instead of just getting it over with and kissing .
288,SARCASM,"I commented , you continue with #hate and Speaking of bubbles #Hillarys is about to pop"
289,SARCASM,says the woman who isn't white and her last name isn't Smith . #immigrant
290,SARCASM,Yeah ... so self destructive ... multi billionaire President Elect ... #ElectionHangover
291,SARCASM,"When DGSE collapses , everyone will assume it's due to an exogenous shock , not its own inherent failings ."
292,SARCASM,", good observation , but this #MadeInAmerica social channel will allow the #boycottUSA to gain strength ."
293,SARCASM,Oh no you're right . I mean the ABC has not been providing services to people living in the bushfire areas have they ?
294,SARCASM,no . we must only think one way . anyone who disagrees with me is worse than pond scum and should be launched into the sun .
295,SARCASM,You've embraced Trumpism but it's  who fell for the con ? ... now that's
296,SARCASM,cause you probably won't be able to see these tweets  
297,SARCASM,most of my guys in the builiding trade are non-UK nationals ...
298,SARCASM,what a bullshit argument #smh You claim to be about no bullshit too
299,SARCASM,notice the rioters never riot in the suburbs . They riot in the democratically controlled urban areas .
300,SARCASM,"yeah , I probably should have included in previous tweet ."
301,SARCASM,"Right there w / using a private email server , being nominated for potus , then having ur party's email hacked by Russia"
302,SARCASM,"But for any man who steps over the patriarchical beauty ideal , thrust upon men by the beauty industry , that apart from just a bigger layer of fat , these obese women are just as high quality as top tier women"
303,SARCASM,We simply want to be left alone to live & work . They want to not leave us alone but to control us . The
304,SARCASM,and the #atudents #yelders #mothers doing it peacefully all these days
305,SARCASM,You could argue he saved LFC . Many of the people who came together to oust him were the same who forced Gillette & Hicks out
306,SARCASM,Truth Monkey refuses to use his real name .
307,SARCASM,"you look triggered after someone criticizes me , are conservatives skeptic of ppl in power ?"
308,SARCASM,"I've spent a few days in the UK , and let me tell you , I'm lucky I survived ! You can't walk anywhere without getting splashed with hot tea , hit with a footie ball or trampled by a knight on horseback . So many perils "
309,SARCASM,joining the Communist party ? like Trump you mean
310,SARCASM,It's not stupid nor #bias to share a thoughtful reflection on a moment in time . It is to dismiss it as stupidity .
311,SARCASM,Won't we be able to see tweets once we leave #europe
312,SARCASM,I take that back ! Someone got a garden salad with Thousand Island and bowl of chowder tonight .
313,SARCASM,- why didnt u express this view 2 #Obama 8yrs ago when he still disagreed w / #gaymarriage
314,SARCASM,"Horse apples . "" United Europe "" is a failed experiment and was always destined to be . Europe is too diverse"
315,SARCASM,"he didn't use the word massacre but because his statement was as #FAKENEWS as Bowling Green it was added because ,"
